6.6267 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B8E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B880>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B6D0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EADF6C4430>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8862 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.8864 	EXP 	window1: mouseVisible = True
9.9319 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='consent_form.png', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.9321 	EXP 	window1: mouseVisible = True
9.9355 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Press anywhere to continue.', units='height', win=Window(...), wrapWidth=1)
9.9355 	EXP 	window1: mouseVisible = True
9.9356 	EXP 	window1: mouseVisible = True
9.9458 	EXP 	Created text_7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_7', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.9459 	EXP 	window1: mouseVisible = True
9.9520 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128.0, units='height', win=Window(...))
9.9521 	EXP 	window1: mouseVisible = True
9.9600 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Press Anywhere to continue.', units='height', win=Window(...), wrapWidth=1)
9.9601 	EXP 	window1: mouseVisible = True
9.9601 	EXP 	window1: mouseVisible = True
9.9615 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.9949 	EXP 	Sound sound_1 set volume 1.000
9.9950 	EXP 	window1: mouseVisible = True
10.0000 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128.0, units='height', win=Window(...))
10.0001 	EXP 	window1: mouseVisible = True
10.0084 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128.0, units='height', win=Window(...))
10.0085 	EXP 	window1: mouseVisible = True
10.0095 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.0095 	EXP 	window1: mouseVisible = True
10.0198 	EXP 	Sound sound_2 set volume 1.000
10.0200 	EXP 	window1: mouseVisible = True
10.0220 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.0221 	EXP 	window1: mouseVisible = True
10.0443 	EXP 	Created text_done = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_done', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0008 	DATA 	Mouse: Left button down, pos=(904,579)
0.0010 	DATA 	Mouse:  Left button up, pos=(904,579)
0.0774 	EXP 	text_5: autoDraw = True
0.4954 	DATA 	Mouse: Left button down, pos=(744,264)
0.5954 	DATA 	Mouse:  Left button up, pos=(744,264)
1.2007 	DATA 	Keypress: return
1.2108 	EXP 	text_5: autoDraw = False
1.2108 	EXP 	image_4: autoDraw = True
1.7107 	EXP 	text_6: autoDraw = True
4.7619 	DATA 	Mouse: Left button down, pos=(1287,273)
4.7941 	EXP 	image_4: autoDraw = False
4.7941 	EXP 	text_6: autoDraw = False
4.7941 	EXP 	text_7: autoDraw = True
4.8452 	DATA 	Mouse:  Left button up, pos=(1292,267)
9.1824 	EXP 	Imported experiment_conditions.csv as conditions, 10 conditions, 10 params
9.1836 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
9.1837 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 'and'), ('image_shown', 'known_objects/lamp.png'), ('image_to_select1', 'NOUN-2-600DPI/2010-600.jpg'), ('image_to_select2', 'known_objects/lamp.png'), ('image1_label', 'fimp'), ('image2_label', 'lamp'), ('text1', 'This is a lamp and a fimp.'), ('prompt1', 'Choose the fimp.'), ('audio_text', 'audio/audio_text/amp_normed/Lamp_and_Fimp.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Lamp_and_Fimp.wav')])
9.2418 	DATA 	Keypress: return
9.2446 	EXP 	text_7: autoDraw = False
9.2446 	EXP 	image: image = 'known_objects/lamp.png'
9.2446 	EXP 	text_4: height = 0.07
9.2446 	EXP 	text_4: height = 0.07
9.2446 	EXP 	text_4: height = 0.07
9.2446 	EXP 	text_4: text = 'This is a lamp and a fimp.'
9.2446 	EXP 	image: autoDraw = True
9.2446 	EXP 	text_4: autoDraw = True
9.6775 	EXP 	Sound sound_1 started
9.6775 	EXP 	text: autoDraw = True
11.7981 	EXP 	Sound sound_1 reached end of file
13.3444 	DATA 	Mouse: Left button down, pos=(1202,547)
13.6433 	DATA 	Mouse:  Left button up, pos=(1202,547)
13.6612 	EXP 	image: autoDraw = False
13.6612 	EXP 	text: autoDraw = False
13.6612 	EXP 	text_4: autoDraw = False
13.6612 	EXP 	image_2: image = 'NOUN-2-600DPI/2010-600.jpg'
13.6612 	EXP 	image_3: image = 'known_objects/lamp.png'
13.6612 	EXP 	text_2: height = 0.05
13.6612 	EXP 	text_2: height = 0.05
13.6612 	EXP 	text_2: height = 0.05
13.6612 	EXP 	text_2: text = 'Choose the fimp.'
13.6612 	EXP 	image_2: autoDraw = True
13.6612 	EXP 	image_3: autoDraw = True
13.6612 	EXP 	text_2: autoDraw = True
13.8442 	EXP 	Sound sound_2 started
15.2278 	DATA 	Mouse: Left button down, pos=(1546,551)
15.2398 	EXP 	Sound sound_2 stopped
15.2398 	EXP 	Sound sound_2 paused
15.2445 	EXP 	image_2: autoDraw = False
15.2445 	EXP 	image_3: autoDraw = False
15.2445 	EXP 	text_2: autoDraw = False
15.2445 	EXP 	text_3: autoDraw = True
15.3117 	DATA 	Mouse:  Left button up, pos=(1546,551)
15.7279 	EXP 	New trial (rep=0, index=1): OrderedDict([('condition', 'label'), ('image_shown', 'NOUN-2-600DPI/2007-600.jpg'), ('image_to_select1', 'NOUN-2-600DPI/2007-600.jpg'), ('image_to_select2', 'known_objects/headphones.png'), ('image1_label', 'wupt'), ('image2_label', 'headphones'), ('text1', 'This is a wupt.'), ('prompt1', 'Choose the wupt.'), ('audio_text', 'audio/audio_text/amp_normed/Wupt.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Wupt.wav')])
15.9946 	EXP 	text_3: autoDraw = False
15.9946 	EXP 	text_3: autoDraw = False
15.9946 	EXP 	image: image = 'NOUN-2-600DPI/2007-600.jpg'
15.9946 	EXP 	text_4: height = 0.07
15.9946 	EXP 	text_4: height = 0.07
15.9946 	EXP 	text_4: height = 0.07
15.9946 	EXP 	text_4: text = 'This is a wupt.'
15.9946 	EXP 	image: autoDraw = True
15.9946 	EXP 	text_4: autoDraw = True
16.2442 	EXP 	Sound sound_1 started
16.2442 	EXP 	text: autoDraw = True
16.7793 	DATA 	Mouse: Left button down, pos=(1059,358)
16.8459 	DATA 	Mouse:  Left button up, pos=(1059,358)
17.4111 	DATA 	Mouse: Left button down, pos=(1011,335)
17.4298 	EXP 	Sound sound_1 stopped
17.4298 	EXP 	Sound sound_1 paused
17.5319 	EXP 	Sound sound_2 reached end of file
17.5338 	DATA 	Mouse:  Left button up, pos=(1011,335)
17.5442 	EXP 	image: autoDraw = False
17.5442 	EXP 	text: autoDraw = False
17.5442 	EXP 	text_4: autoDraw = False
17.5442 	EXP 	image_2: image = 'NOUN-2-600DPI/2007-600.jpg'
17.5442 	EXP 	image_3: image = 'known_objects/headphones.png'
17.5442 	EXP 	text_2: height = 0.05
17.5442 	EXP 	text_2: height = 0.05
17.5442 	EXP 	text_2: height = 0.05
17.5442 	EXP 	text_2: text = 'Choose the wupt.'
17.5442 	EXP 	image_2: autoDraw = True
17.5442 	EXP 	image_3: autoDraw = True
17.5442 	EXP 	text_2: autoDraw = True
18.8113 	DATA 	Mouse: Left button down, pos=(410,559)
18.8276 	EXP 	image_2: autoDraw = False
18.8276 	EXP 	image_3: autoDraw = False
18.8276 	EXP 	text_2: autoDraw = False
18.8276 	EXP 	text_3: autoDraw = True
18.8784 	DATA 	Mouse:  Left button up, pos=(410,559)
19.3114 	EXP 	New trial (rep=0, index=2): OrderedDict([('condition', 'not'), ('image_shown', 'known_objects/backpack.png'), ('image_to_select1', 'NOUN-2-600DPI/2014-600.jpg'), ('image_to_select2', 'known_objects/backpack.png'), ('image1_label', 'pank'), ('image2_label', 'backpack'), ('text1', 'This is a backpack, not a pank.'), ('prompt1', 'Choose the pank.'), ('audio_text', 'audio/audio_text/amp_normed/Backpack_not_Pank.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Backpack_not_Pank.wav')])
19.3793 	EXP 	Sound sound_1 reached end of file
19.3946 	EXP 	text_3: autoDraw = False
19.3946 	EXP 	text_3: autoDraw = False
19.3946 	EXP 	image: image = 'known_objects/backpack.png'
19.3946 	EXP 	text_4: height = 0.07
19.3946 	EXP 	text_4: height = 0.07
19.3946 	EXP 	text_4: height = 0.07
19.3946 	EXP 	text_4: text = 'This is a backpack, not a pank.'
19.3946 	EXP 	image: autoDraw = True
19.3946 	EXP 	text_4: autoDraw = True
19.8276 	EXP 	text: autoDraw = True
20.6459 	DATA 	Mouse: Left button down, pos=(933,371)
20.7125 	DATA 	Mouse:  Left button up, pos=(932,370)
21.5279 	DATA 	Mouse: Left button down, pos=(821,195)
21.6579 	DATA 	Mouse:  Left button up, pos=(821,195)
21.6615 	EXP 	image: autoDraw = False
21.6615 	EXP 	text: autoDraw = False
21.6615 	EXP 	text_4: autoDraw = False
21.6615 	EXP 	image_2: image = 'NOUN-2-600DPI/2014-600.jpg'
21.6615 	EXP 	image_3: image = 'known_objects/backpack.png'
21.6615 	EXP 	text_2: height = 0.05
21.6615 	EXP 	text_2: height = 0.05
21.6615 	EXP 	text_2: height = 0.05
21.6615 	EXP 	text_2: text = 'Choose the pank.'
21.6615 	EXP 	image_2: autoDraw = True
21.6615 	EXP 	image_3: autoDraw = True
21.6615 	EXP 	text_2: autoDraw = True
22.0276 	EXP 	Sound sound_2 started
23.3779 	DATA 	Mouse: Left button down, pos=(1449,523)
23.3898 	EXP 	Sound sound_2 stopped
23.3898 	EXP 	Sound sound_2 paused
23.3944 	EXP 	image_2: autoDraw = False
23.3944 	EXP 	image_3: autoDraw = False
23.3944 	EXP 	text_2: autoDraw = False
23.3944 	EXP 	text_3: autoDraw = True
23.4285 	DATA 	Mouse:  Left button up, pos=(1449,523)
23.8780 	EXP 	New trial (rep=0, index=3): OrderedDict([('condition', 'or'), ('image_shown', 'known_objects/clock.png'), ('image_to_select1', 'NOUN-2-600DPI/2013-600.jpg'), ('image_to_select2', 'known_objects/clock.png'), ('image1_label', 'dite'), ('image2_label', 'clock'), ('text1', 'This is a clock or a dite.'), ('prompt1', 'Choose the dite.'), ('audio_text', 'audio/audio_text/amp_normed/Clock_or_Dite.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Clock_or_Dite.wav')])
23.9443 	EXP 	text_3: autoDraw = False
23.9443 	EXP 	text_3: autoDraw = False
23.9443 	EXP 	image: image = 'known_objects/clock.png'
23.9443 	EXP 	text_4: height = 0.07
23.9443 	EXP 	text_4: height = 0.07
23.9443 	EXP 	text_4: height = 0.07
23.9443 	EXP 	text_4: text = 'This is a clock or a dite.'
23.9443 	EXP 	image: autoDraw = True
23.9443 	EXP 	text_4: autoDraw = True
24.3943 	EXP 	Sound sound_1 started
24.3942 	EXP 	text: autoDraw = True
24.6459 	DATA 	Mouse: Left button down, pos=(916,373)
24.7292 	DATA 	Mouse:  Left button up, pos=(917,373)
25.1293 	DATA 	Mouse: Left button down, pos=(917,372)
25.2126 	DATA 	Mouse:  Left button up, pos=(917,372)
26.3668 	EXP 	Sound sound_1 reached end of file
26.7112 	DATA 	Mouse: Left button down, pos=(995,266)
26.8333 	EXP 	Sound sound_2 reached end of file
26.8353 	DATA 	Mouse:  Left button up, pos=(995,266)
26.8453 	EXP 	image: autoDraw = False
26.8453 	EXP 	text: autoDraw = False
26.8453 	EXP 	text_4: autoDraw = False
26.8453 	EXP 	image_2: image = 'NOUN-2-600DPI/2013-600.jpg'
26.8453 	EXP 	image_3: image = 'known_objects/clock.png'
26.8453 	EXP 	text_2: height = 0.05
26.8453 	EXP 	text_2: height = 0.05
26.8453 	EXP 	text_2: height = 0.05
26.8453 	EXP 	text_2: text = 'Choose the dite.'
26.8453 	EXP 	image_2: autoDraw = True
26.8453 	EXP 	image_3: autoDraw = True
26.8453 	EXP 	text_2: autoDraw = True
27.8615 	DATA 	Mouse: Left button down, pos=(1374,629)
27.8776 	EXP 	image_2: autoDraw = False
27.8776 	EXP 	image_3: autoDraw = False
27.8776 	EXP 	text_2: autoDraw = False
27.8776 	EXP 	text_3: autoDraw = True
27.9452 	DATA 	Mouse:  Left button up, pos=(1374,629)
28.3614 	EXP 	New trial (rep=0, index=4): OrderedDict([('condition', 'mutual_ex'), ('image_shown', 'known_objects/phone.png'), ('image_to_select1', 'NOUN-2-600DPI/2030-600.jpg'), ('image_to_select2', 'known_objects/phone.png'), ('image1_label', 'bem'), ('image2_label', 'phone'), ('text1', 'This is a phone.'), ('prompt1', 'Choose the bem.'), ('audio_text', 'audio/audio_text/amp_normed/Phone.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Phone.wav')])
28.4111 	EXP 	text_3: autoDraw = False
28.4111 	EXP 	text_3: autoDraw = False
28.4111 	EXP 	image: image = 'known_objects/phone.png'
28.4111 	EXP 	text_4: height = 0.07
28.4111 	EXP 	text_4: height = 0.07
28.4111 	EXP 	text_4: height = 0.07
28.4111 	EXP 	text_4: text = 'This is a phone.'
28.4111 	EXP 	image: autoDraw = True
28.4111 	EXP 	text_4: autoDraw = True
28.8777 	EXP 	Sound sound_1 started
28.8776 	EXP 	text: autoDraw = True
30.0613 	DATA 	Mouse: Left button down, pos=(963,355)
30.0798 	EXP 	Sound sound_1 stopped
30.0798 	EXP 	Sound sound_1 paused
30.2080 	DATA 	Mouse:  Left button up, pos=(963,355)
30.2119 	EXP 	image: autoDraw = False
30.2119 	EXP 	text: autoDraw = False
30.2119 	EXP 	text_4: autoDraw = False
30.2119 	EXP 	image_2: image = 'NOUN-2-600DPI/2030-600.jpg'
30.2119 	EXP 	image_3: image = 'known_objects/phone.png'
30.2119 	EXP 	text_2: height = 0.05
30.2119 	EXP 	text_2: height = 0.05
30.2119 	EXP 	text_2: height = 0.05
30.2119 	EXP 	text_2: text = 'Choose the bem.'
30.2119 	EXP 	image_2: autoDraw = True
30.2119 	EXP 	image_3: autoDraw = True
30.2119 	EXP 	text_2: autoDraw = True
30.5943 	EXP 	Sound sound_2 started
30.7456 	DATA 	Mouse: Left button down, pos=(1379,595)
30.7956 	DATA 	Mouse:  Left button up, pos=(1379,595)
31.4615 	DATA 	Mouse: Left button down, pos=(495,591)
31.4798 	EXP 	Sound sound_2 stopped
31.4798 	EXP 	Sound sound_2 paused
31.4945 	EXP 	image_2: autoDraw = False
31.4945 	EXP 	image_3: autoDraw = False
31.4945 	EXP 	text_2: autoDraw = False
31.4945 	EXP 	text_3: autoDraw = True
31.5119 	DATA 	Mouse:  Left button up, pos=(495,590)
31.9781 	EXP 	New trial (rep=0, index=5): OrderedDict([('condition', 'and'), ('image_shown', 'known_objects/baseball.png'), ('image_to_select1', 'NOUN-2-600DPI/2015-600.jpg'), ('image_to_select2', 'known_objects/baseball.png'), ('image1_label', 'beag'), ('image2_label', 'baseball'), ('text1', 'This is a baseball and a beag.'), ('prompt1', 'Choose the beag.'), ('audio_text', 'audio/audio_text/amp_normed/Baseball_and_Beag.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Baseball_and_Beag.wav')])
32.0238 	EXP 	Sound sound_1 reached end of file
32.0279 	EXP 	text_3: autoDraw = False
32.0279 	EXP 	text_3: autoDraw = False
32.0279 	EXP 	image: image = 'known_objects/baseball.png'
32.0279 	EXP 	text_4: height = 0.07
32.0279 	EXP 	text_4: height = 0.07
32.0279 	EXP 	text_4: height = 0.07
32.0279 	EXP 	text_4: text = 'This is a baseball and a beag.'
32.0279 	EXP 	image: autoDraw = True
32.0279 	EXP 	text_4: autoDraw = True
32.4944 	EXP 	text: autoDraw = True
32.9126 	DATA 	Mouse: Left button down, pos=(1061,445)
32.9792 	DATA 	Mouse:  Left button up, pos=(1060,444)
35.5947 	DATA 	Mouse: Left button down, pos=(944,311)
35.7045 	EXP 	Sound sound_2 reached end of file
35.7110 	EXP 	image: autoDraw = False
35.7110 	EXP 	text: autoDraw = False
35.7110 	EXP 	text_4: autoDraw = False
35.7110 	EXP 	image_2: image = 'NOUN-2-600DPI/2015-600.jpg'
35.7110 	EXP 	image_3: image = 'known_objects/baseball.png'
35.7110 	EXP 	text_2: height = 0.05
35.7110 	EXP 	text_2: height = 0.05
35.7110 	EXP 	text_2: height = 0.05
35.7110 	EXP 	text_2: text = 'Choose the beag.'
35.7110 	EXP 	image_2: autoDraw = True
35.7110 	EXP 	image_3: autoDraw = True
35.7110 	EXP 	text_2: autoDraw = True
35.7296 	DATA 	Mouse:  Left button up, pos=(944,311)
37.6783 	DATA 	Mouse: Left button down, pos=(1509,521)
37.6944 	EXP 	image_2: autoDraw = False
37.6944 	EXP 	image_3: autoDraw = False
37.6944 	EXP 	text_2: autoDraw = False
37.6944 	EXP 	text_3: autoDraw = True
37.7456 	DATA 	Mouse:  Left button up, pos=(1509,521)
38.1781 	EXP 	New trial (rep=0, index=6): OrderedDict([('condition', 'not'), ('image_shown', 'known_objects/car.png'), ('image_to_select1', 'NOUN-2-600DPI/2005-600.jpg'), ('image_to_select2', 'known_objects/car.png'), ('image1_label', 'zav'), ('image2_label', 'car'), ('text1', 'This is a car, not a zav.'), ('prompt1', 'Choose the zav.'), ('audio_text', 'audio/audio_text/amp_normed/Car_not_Zav.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Car_not_Zav.wav')])
38.2280 	EXP 	text_3: autoDraw = False
38.2280 	EXP 	text_3: autoDraw = False
38.2280 	EXP 	image: image = 'known_objects/car.png'
38.2280 	EXP 	text_4: height = 0.07
38.2280 	EXP 	text_4: height = 0.07
38.2280 	EXP 	text_4: height = 0.07
38.2280 	EXP 	text_4: text = 'This is a car, not a zav.'
38.2280 	EXP 	image: autoDraw = True
38.2280 	EXP 	text_4: autoDraw = True
38.6944 	EXP 	Sound sound_1 started
38.6944 	EXP 	text: autoDraw = True
40.7337 	EXP 	Sound sound_1 reached end of file
41.0113 	DATA 	Mouse: Left button down, pos=(980,307)
41.1432 	DATA 	Mouse:  Left button up, pos=(980,307)
41.1612 	EXP 	image: autoDraw = False
41.1612 	EXP 	text: autoDraw = False
41.1612 	EXP 	text_4: autoDraw = False
41.1612 	EXP 	image_2: image = 'NOUN-2-600DPI/2005-600.jpg'
41.1612 	EXP 	image_3: image = 'known_objects/car.png'
41.1612 	EXP 	text_2: height = 0.05
41.1612 	EXP 	text_2: height = 0.05
41.1612 	EXP 	text_2: height = 0.05
41.1612 	EXP 	text_2: text = 'Choose the zav.'
41.1612 	EXP 	image_2: autoDraw = True
41.1612 	EXP 	image_3: autoDraw = True
41.1612 	EXP 	text_2: autoDraw = True
41.5110 	EXP 	Sound sound_2 started
42.2948 	DATA 	Mouse: Left button down, pos=(1348,524)
42.3097 	EXP 	Sound sound_2 stopped
42.3098 	EXP 	Sound sound_2 paused
42.3278 	EXP 	image_2: autoDraw = False
42.3278 	EXP 	image_3: autoDraw = False
42.3278 	EXP 	text_2: autoDraw = False
42.3278 	EXP 	text_3: autoDraw = True
42.3955 	DATA 	Mouse:  Left button up, pos=(1349,524)
42.8113 	EXP 	New trial (rep=0, index=7): OrderedDict([('condition', 'or'), ('image_shown', 'known_objects/cup.png'), ('image_to_select1', 'NOUN-2-600DPI/2003-600.jpg'), ('image_to_select2', 'known_objects/cup.png'), ('image1_label', 'hane'), ('image2_label', 'cup'), ('text1', 'This is a cup or a hane.'), ('prompt1', 'Choose the hane.'), ('audio_text', 'audio/audio_text/amp_normed/Cup_or_Hane.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Cup_or_Hane.wav')])
42.8613 	EXP 	text_3: autoDraw = False
42.8613 	EXP 	image: image = 'known_objects/cup.png'
42.8613 	EXP 	text_4: height = 0.07
42.8613 	EXP 	text_4: height = 0.07
